p0,T,Iter,p,Estimator,Expected_Tau
4,360,0,3,Joint-BMA,0.20000000000000004
4,360,0,3,Geom-BMA,0.2
4,360,0,4,Joint-BMA,0.2
4,360,0,4,Geom-BMA,0.2
4,360,0,5,Joint-BMA,0.2
4,360,0,5,Geom-BMA,0.2
4,360,0,6,Joint-BMA,0.2
4,360,0,7,Joint-BMA,0.2
4,360,1,2,Joint-BMA,0.2
4,360,1,2,Geom-BMA,0.2
4,360,1,3,Joint-BMA,0.2
4,360,1,3,Geom-BMA,0.2
4,360,1,4,Joint-BMA,0.2
4,360,1,5,Joint-BMA,0.2
4,360,1,12,Joint-BMA,0.2
4,360,2,3,Geom-BMA,0.2
4,360,2,4,Joint-BMA,0.19999999999999998
4,360,2,4,Geom-BMA,0.2
4,360,2,5,Joint-BMA,0.2
4,360,2,5,Geom-BMA,0.2
4,360,2,6,Joint-BMA,0.2
4,360,2,6,Geom-BMA,0.2
4,360,3,2,Joint-BMA,0.2
4,360,3,2,Geom-BMA,0.2
4,360,3,3,Joint-BMA,0.2
4,360,3,3,Geom-BMA,0.2
4,360,3,4,Joint-BMA,0.2
4,360,3,4,Geom-BMA,0.2
4,360,3,5,Joint-BMA,0.2
4,360,3,6,Joint-BMA,0.2
4,360,4,2,Joint-BMA,0.2
4,360,4,2,Geom-BMA,0.20000000000000004
4,360,4,3,Joint-BMA,0.19999999999999998
4,360,4,3,Geom-BMA,0.2
4,360,4,4,Joint-BMA,0.19999999999999998
4,360,4,4,Geom-BMA,0.2
4,360,4,5,Joint-BMA,0.2
4,360,5,2,Joint-BMA,0.2
4,360,5,2,Geom-BMA,0.2
4,360,5,3,Joint-BMA,0.2
4,360,5,3,Geom-BMA,0.2
4,360,5,4,Joint-BMA,0.2
4,360,5,4,Geom-BMA,0.2
4,360,5,5,Joint-BMA,0.2
4,360,5,5,Geom-BMA,0.2
4,360,5,6,Joint-BMA,0.2
4,360,5,6,Geom-BMA,0.2
4,360,5,7,Joint-BMA,0.2
4,360,6,2,Joint-BMA,0.19999999999999998
4,360,6,2,Geom-BMA,0.2
4,360,6,3,Joint-BMA,0.2
4,360,6,3,Geom-BMA,0.2
4,360,6,4,Joint-BMA,0.2
4,360,6,5,Joint-BMA,0.2
4,360,7,2,Joint-BMA,0.2
4,360,7,2,Geom-BMA,0.2
4,360,7,3,Joint-BMA,0.2
4,360,7,4,Joint-BMA,0.2
4,360,7,5,Joint-BMA,0.2
4,360,8,2,Joint-BMA,0.2
4,360,8,2,Geom-BMA,0.2
4,360,8,3,Joint-BMA,0.20000000000000004
4,360,8,3,Geom-BMA,0.2
4,360,8,4,Joint-BMA,0.2
4,360,8,4,Geom-BMA,0.2
4,360,8,5,Joint-BMA,0.20000000000000004
4,360,9,2,Joint-BMA,0.2
4,360,9,2,Geom-BMA,0.2
4,360,9,3,Joint-BMA,0.2
4,360,9,3,Geom-BMA,0.2
4,360,9,4,Joint-BMA,0.2
4,360,9,4,Geom-BMA,0.2
4,360,9,5,Joint-BMA,0.2
4,360,9,5,Geom-BMA,0.2
4,360,10,3,Joint-BMA,0.2
4,360,10,3,Geom-BMA,0.2
4,360,10,4,Joint-BMA,0.20000000000000004
4,360,10,4,Geom-BMA,0.2
4,360,10,5,Joint-BMA,0.2
4,360,10,5,Geom-BMA,0.2
4,360,11,2,Joint-BMA,0.2
4,360,11,2,Geom-BMA,0.2
4,360,11,3,Joint-BMA,0.20000000000000004
4,360,11,3,Geom-BMA,0.2
4,360,11,4,Joint-BMA,0.2
4,360,11,4,Geom-BMA,0.2
4,360,11,5,Joint-BMA,0.2
4,360,11,5,Geom-BMA,0.2
4,360,11,6,Joint-BMA,0.2
4,360,11,6,Geom-BMA,0.2
4,360,11,7,Joint-BMA,0.2
4,360,11,7,Geom-BMA,0.2
4,360,11,8,Joint-BMA,0.2
4,360,11,9,Joint-BMA,0.2
4,360,11,10,Joint-BMA,0.2
4,360,11,11,Joint-BMA,0.2
4,360,12,3,Joint-BMA,0.2
4,360,12,3,Geom-BMA,0.2
4,360,12,4,Joint-BMA,0.2
4,360,12,4,Geom-BMA,0.2
4,360,12,5,Joint-BMA,0.2
4,360,12,5,Geom-BMA,0.2
4,360,12,6,Joint-BMA,0.2
4,360,12,6,Geom-BMA,0.2
4,360,12,7,Joint-BMA,0.2
4,360,12,7,Geom-BMA,0.2
4,360,12,8,Joint-BMA,0.2
4,360,12,8,Geom-BMA,0.2
4,360,12,9,Joint-BMA,0.2
4,360,12,9,Geom-BMA,0.2
4,360,12,10,Joint-BMA,0.2
4,360,12,11,Joint-BMA,0.2
4,360,12,12,Joint-BMA,0.20000000000000004
