True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,360,AIC,46.8,3.39,N/A,0.0,1.1167926951359028,0.07095606039551532,20.04965324105025
4,360,SIC (BIC),0.0,2.0,N/A,0.0,1.2743316193111955,0.05533293394513715,25.63931463833999
4,360,HQC,0.2,2.16,N/A,0.0,1.29580515095757,0.055556915863623435,25.63931463833999
4,360,OLS BMA (BIC-W),N/A,2.0,N/A,0.0,1.142491159828304,0.055474775766074465,23.744439650165944
4,360,"OLS BMA (Geom-W, th=0.5)",N/A,2.0,N/A,0.0,1.23516401752499,0.0539062267220958,27.871583677848694
4,360,OLS BMA (AIC-W),N/A,3.39,N/A,0.0,1.034734958643462,0.050275686707130667,23.78448601709794
4,360,"OLS BMA (Geom-AIC-W, th=0.5)",N/A,3.29,N/A,0.0,1.1384228253729811,0.0456815116000035,23.586315689420005
4,360,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,0.0,1.0297450300233062,0.04941264296619845,21.266055790769265
4,360,"BVAR-WN (tau=0.40, p_max)",N/A,12.0,N/A,0.0,1.1673063443117833,0.05036902862039982,22.287825572576814
4,360,"BVAR-WN (tau=0.60, p_max)",N/A,12.0,N/A,0.0,0.9944758303982877,0.05648490625160725,22.839802578462603
4,360,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,0.0,1.1419174984218434,0.058180999370626,20.688825175875348
4,360,"Joint (p, tau) Grid BMA",N/A,3.97,N/A,0.0,1.0262393640359826,0.044589332294568323,23.780251266497366
4,360,"Geom (p, tau) Grid BMA (th=0.5)",N/A,3.32,N/A,0.0,1.0459466364922207,0.045596711099699073,25.152460838614896
4,360,"BVAR-WN (MDD tau, p_max)",N/A,12.0,0.2,0.0,1.0297450300233062,0.04941264296619845,21.266055790769265
4,480,AIC,59.8,3.61,N/A,0.0,0.9855931218965025,0.065987465492166,16.272159611393114
4,480,SIC (BIC),0.0,2.01,N/A,0.0,1.133147027031148,0.04581316682010128,30.900475858715016
4,480,HQC,3.0,2.4,N/A,0.0,1.1236599262315057,0.05212801174389154,27.91192001392236
4,480,OLS BMA (BIC-W),N/A,2.01,N/A,0.0,1.1476693651573135,0.04779039544942734,29.414726675505978
4,480,"OLS BMA (Geom-W, th=0.5)",N/A,2.01,N/A,0.0,1.1495638370712764,0.0453009364412934,28.61910815753698
4,480,OLS BMA (AIC-W),N/A,3.63,N/A,0.0,1.0309302736937282,0.04295686670829162,27.740040800063706
4,480,"OLS BMA (Geom-AIC-W, th=0.5)",N/A,3.55,N/A,0.0,0.99592617109946,0.036289041967303357,27.191235572859835
4,480,"BVAR-WN (tau=0.20, p_max)",N/A,12.0,N/A,0.0,1.136689813475676,0.04353166100501557,27.876924416802538
4,480,"BVAR-WN (tau=0.40, p_max)",N/A,12.0,N/A,0.0,1.1091647620197052,0.04309033996768533,27.63507821360243
4,480,"BVAR-WN (tau=0.60, p_max)",N/A,12.0,N/A,0.0,1.092238969620859,0.04587313933448538,25.99400075227169
4,480,"BVAR-WN (tau=0.80, p_max)",N/A,12.0,N/A,0.0,1.0999845706780433,0.04974532275345288,28.538932532854975
4,480,"Joint (p, tau) Grid BMA",N/A,4.03,N/A,0.0,0.8977716146406253,0.03440036198776588,26.12543781032583
4,480,"Geom (p, tau) Grid BMA (th=0.5)",N/A,3.56,N/A,0.0,1.1303316216107253,0.04034683297815696,29.325997109308222
4,480,"BVAR-WN (MDD tau, p_max)",N/A,12.0,0.2,0.0,1.136689813475676,0.04353166100501557,27.876924416802538
