p0,T,Iter,Tau,MDD
4,360,0,0.2,-4679.730436271448
4,360,0,0.4,-4705.932609764108
4,360,0,0.6,-4745.788298263033
4,360,0,0.8,-4783.821201310302
4,360,1,0.2,-4711.783422701479
4,360,1,0.4,-4737.592286861151
4,360,1,0.6,-4778.844915739632
4,360,1,0.8,-4817.970740343781
4,360,2,0.2,-4741.9565765363495
4,360,2,0.4,-4762.839548114118
4,360,2,0.6,-4802.328743947866
4,360,2,0.8,-4840.711854656527
4,360,3,0.2,-4724.231042781157
4,360,3,0.4,-4745.236792515929
4,360,3,0.6,-4782.067556363412
4,360,3,0.8,-4818.343569549321
4,360,4,0.2,-4698.789999316117
4,360,4,0.4,-4726.493541661628
4,360,4,0.6,-4768.609056061912
4,360,4,0.8,-4808.340816301976
4,360,5,0.2,-4726.20347577513
4,360,5,0.4,-4758.5057594980335
4,360,5,0.6,-4802.281360456811
4,360,5,0.8,-4842.878962021957
4,360,6,0.2,-4749.925703375844
4,360,6,0.4,-4778.232076713195
4,360,6,0.6,-4820.223482267249
4,360,6,0.8,-4859.718224105916
4,360,7,0.2,-4707.923821870363
4,360,7,0.4,-4733.964004054385
4,360,7,0.6,-4774.279216782692
4,360,7,0.8,-4812.384115739544
4,360,8,0.2,-4702.096193328938
4,360,8,0.4,-4728.639984313933
4,360,8,0.6,-4769.800945109301
4,360,8,0.8,-4808.985005819815
4,360,9,0.2,-4689.230992880868
4,360,9,0.4,-4713.555774542887
4,360,9,0.6,-4754.056947613258
4,360,9,0.8,-4792.696744003248
4,360,10,0.2,-4722.581302074195
4,360,10,0.4,-4746.996183083467
4,360,10,0.6,-4787.767284238222
4,360,10,0.8,-4826.714931458806
4,360,11,0.2,-4683.793162747348
4,360,11,0.4,-4705.771895112417
4,360,11,0.6,-4745.024778250169
4,360,11,0.8,-4783.282400946535
4,360,12,0.2,-4755.583154088119
4,360,12,0.4,-4772.8729256584065
4,360,12,0.6,-4808.169776003746
4,360,12,0.8,-4843.629731607677
4,360,13,0.2,-4691.589419524349
4,360,13,0.4,-4716.367015238924
4,360,13,0.6,-4756.329571021895
4,360,13,0.8,-4794.866289007756
4,360,14,0.2,-4720.354688984093
4,360,14,0.4,-4738.332149798556
4,360,14,0.6,-4775.198300558521
4,360,14,0.8,-4812.316691746244
4,360,15,0.2,-4712.324464322441
4,360,15,0.4,-4736.818677993258
4,360,15,0.6,-4775.820808798937
4,360,15,0.8,-4813.270635073241
4,360,16,0.2,-4720.7910555382905
4,360,16,0.4,-4742.821053548099
4,360,16,0.6,-4782.295029447037
4,360,16,0.8,-4820.284992268616
4,360,17,0.2,-4721.488554158708
4,360,17,0.4,-4739.312649936728
4,360,17,0.6,-4776.941702259248
4,360,17,0.8,-4814.348560958583
4,360,18,0.2,-4692.551802317181
4,360,18,0.4,-4720.649213981766
4,360,18,0.6,-4763.122709650786
4,360,18,0.8,-4803.165703537505
4,360,19,0.2,-4688.470092213885
4,360,19,0.4,-4711.753474062496
4,360,19,0.6,-4751.166779759673
4,360,19,0.8,-4789.234368725107
4,360,20,0.2,-4702.246112954559
4,360,20,0.4,-4729.710143111204
4,360,20,0.6,-4770.391181548292
4,360,20,0.8,-4808.894760311861
4,360,21,0.2,-4704.434561631935
4,360,21,0.4,-4734.542012434055
4,360,21,0.6,-4778.385168325789
4,360,21,0.8,-4819.101162431971
4,360,22,0.2,-4718.761755272248
4,360,22,0.4,-4743.9119867485515
4,360,22,0.6,-4784.8970650387055
4,360,22,0.8,-4824.239210610867
4,360,23,0.2,-4709.31173749781
4,360,23,0.4,-4731.944543125159
4,360,23,0.6,-4770.8256506184935
4,360,23,0.8,-4808.461188526577
4,360,24,0.2,-4748.540750320682
4,360,24,0.4,-4775.293273534942
4,360,24,0.6,-4816.139699441919
4,360,24,0.8,-4854.956099819448
4,360,25,0.2,-4745.518525036032
4,360,25,0.4,-4775.009797573719
4,360,25,0.6,-4817.427319405739
4,360,25,0.8,-4856.958088393119
4,360,26,0.2,-4745.470719593977
4,360,26,0.4,-4778.311800816058
4,360,26,0.6,-4822.360401121025
4,360,26,0.8,-4863.079750655512
4,360,27,0.2,-4685.844112107048
4,360,27,0.4,-4704.71542119046
4,360,27,0.6,-4741.980379375827
4,360,27,0.8,-4778.774798770914
4,360,28,0.2,-4689.821990691709
4,360,28,0.4,-4718.7798070958
4,360,28,0.6,-4760.162753049787
4,360,28,0.8,-4798.88700809728
4,360,29,0.2,-4710.348169969411
4,360,29,0.4,-4731.672407833226
4,360,29,0.6,-4771.997147854956
4,360,29,0.8,-4811.138492009744
4,360,30,0.2,-4704.954382514794
4,360,30,0.4,-4724.030764822077
4,360,30,0.6,-4760.803199084126
4,360,30,0.8,-4797.153625083874
4,360,31,0.2,-4703.597510155945
4,360,31,0.4,-4728.76888811497
4,360,31,0.6,-4768.759137223526
4,360,31,0.8,-4806.990057342173
4,360,32,0.2,-4732.004607815556
4,360,32,0.4,-4754.746067622758
4,360,32,0.6,-4793.61499023979
4,360,32,0.8,-4830.939226189128
4,360,33,0.2,-4673.970673024096
4,360,33,0.4,-4694.138580888179
4,360,33,0.6,-4733.1577352668755
4,360,33,0.8,-4771.128570475306
4,360,34,0.2,-4768.764524660453
4,360,34,0.4,-4789.592450824433
4,360,34,0.6,-4826.597592609001
4,360,34,0.8,-4862.740026866279
4,360,35,0.2,-4718.3610038067945
4,360,35,0.4,-4741.163093290432
4,360,35,0.6,-4780.319770228644
4,360,35,0.8,-4818.312011223409
4,360,36,0.2,-4704.81753313702
4,360,36,0.4,-4737.556232499892
4,360,36,0.6,-4781.008311620693
4,360,36,0.8,-4821.354418069013
4,360,37,0.2,-4732.821022330882
4,360,37,0.4,-4753.77857932326
4,360,37,0.6,-4792.722883042698
4,360,37,0.8,-4830.374531428255
4,360,38,0.2,-4709.176666307758
4,360,38,0.4,-4740.596788922598
4,360,38,0.6,-4784.849439875879
4,360,38,0.8,-4825.803138566142
4,360,39,0.2,-4677.039699551058
4,360,39,0.4,-4702.557835577738
4,360,39,0.6,-4742.878158193482
4,360,39,0.8,-4781.2571649521105
4,360,40,0.2,-4743.916097332224
4,360,40,0.4,-4768.842132782079
4,360,40,0.6,-4808.998727386371
4,360,40,0.8,-4847.599721044397
4,360,41,0.2,-4738.729195328962
4,360,41,0.4,-4766.169876888887
4,360,41,0.6,-4806.574456652311
4,360,41,0.8,-4844.925301078183
4,360,42,0.2,-4701.075435372888
4,360,42,0.4,-4724.376258450935
4,360,42,0.6,-4763.244271005344
4,360,42,0.8,-4800.650982239033
4,360,43,0.2,-4783.237249225584
4,360,43,0.4,-4810.059634375654
4,360,43,0.6,-4849.415546971657
4,360,43,0.8,-4886.87558470329
4,360,44,0.2,-4679.655614445575
4,360,44,0.4,-4702.7262735368695
4,360,44,0.6,-4742.501715896757
4,360,44,0.8,-4780.879472625231
4,360,45,0.2,-4745.586219283847
4,360,45,0.4,-4767.960646798636
4,360,45,0.6,-4806.478744799895
4,360,45,0.8,-4843.460906820439
4,360,46,0.2,-4703.682654864066
4,360,46,0.4,-4722.912486741561
4,360,46,0.6,-4761.040808683691
4,360,46,0.8,-4798.689387204702
4,360,47,0.2,-4686.918559237976
4,360,47,0.4,-4719.496803320797
4,360,47,0.6,-4760.93427366226
4,360,47,0.8,-4799.2844345356025
4,360,48,0.2,-4713.236084582624
4,360,48,0.4,-4735.778109842251
4,360,48,0.6,-4774.129877534819
4,360,48,0.8,-4811.308911442686
4,360,49,0.2,-4725.306931318342
4,360,49,0.4,-4745.535539821996
4,360,49,0.6,-4784.00265505571
4,360,49,0.8,-4821.33666468532
4,360,50,0.2,-4697.773685931499
4,360,50,0.4,-4722.471529803992
4,360,50,0.6,-4762.358712931571
4,360,50,0.8,-4800.791410486887
4,360,51,0.2,-4743.642579300927
4,360,51,0.4,-4768.645421091658
4,360,51,0.6,-4810.174940802723
4,360,51,0.8,-4849.745113392368
4,360,52,0.2,-4703.482023897868
4,360,52,0.4,-4735.76993604083
4,360,52,0.6,-4778.603238798174
4,360,52,0.8,-4818.515700854601
4,360,53,0.2,-4741.774782614495
4,360,53,0.4,-4770.432990489402
4,360,53,0.6,-4812.740482541787
4,360,53,0.8,-4852.6603885017985
4,360,54,0.2,-4716.44826659972
4,360,54,0.4,-4741.264380120336
4,360,54,0.6,-4780.626411945646
4,360,54,0.8,-4818.146397121409
4,360,55,0.2,-4723.727285930376
4,360,55,0.4,-4746.403224593687
4,360,55,0.6,-4785.608518190038
4,360,55,0.8,-4823.53997265543
4,360,56,0.2,-4769.02023257708
4,360,56,0.4,-4788.037080619253
4,360,56,0.6,-4826.173514437198
4,360,56,0.8,-4863.550046628349
4,360,57,0.2,-4759.483258971579
4,360,57,0.4,-4784.293763325186
4,360,57,0.6,-4825.906052731325
4,360,57,0.8,-4865.688168472598
4,360,58,0.2,-4728.920698368958
4,360,58,0.4,-4750.802712647526
4,360,58,0.6,-4790.886020653614
4,360,58,0.8,-4829.750251820376
4,360,59,0.2,-4775.304552580546
4,360,59,0.4,-4796.012995758401
4,360,59,0.6,-4835.008273377232
4,360,59,0.8,-4873.202316025805
4,360,60,0.2,-4694.999312666714
4,360,60,0.4,-4721.556189903138
4,360,60,0.6,-4763.08812104442
4,360,60,0.8,-4802.326807637384
4,360,61,0.2,-4752.539295794655
4,360,61,0.4,-4781.175898101301
4,360,61,0.6,-4823.502494283306
4,360,61,0.8,-4863.258062531224
4,360,62,0.2,-4714.958732263327
4,360,62,0.4,-4744.611352109356
4,360,62,0.6,-4787.135319851537
4,360,62,0.8,-4827.05940755653
4,360,63,0.2,-4769.360669757926
4,360,63,0.4,-4789.190752663115
4,360,63,0.6,-4826.922548614493
4,360,63,0.8,-4864.231506427328
4,360,64,0.2,-4724.37111825478
4,360,64,0.4,-4745.820694023886
4,360,64,0.6,-4785.007979459538
4,360,64,0.8,-4823.1868684299025
4,360,65,0.2,-4730.730979962191
4,360,65,0.4,-4754.9290360121395
4,360,65,0.6,-4794.321657362088
4,360,65,0.8,-4832.523161912463
4,360,66,0.2,-4706.656939645012
4,360,66,0.4,-4731.970800306222
4,360,66,0.6,-4772.139762296341
4,360,66,0.8,-4810.266514880592
4,360,67,0.2,-4736.0529123399265
4,360,67,0.4,-4762.710757832856
4,360,67,0.6,-4804.06617858893
4,360,67,0.8,-4843.3539239324655
4,360,68,0.2,-4722.830991657647
4,360,68,0.4,-4746.791435690324
4,360,68,0.6,-4785.687857133133
4,360,68,0.8,-4823.031635807731
4,360,69,0.2,-4685.731566537046
4,360,69,0.4,-4717.373585996736
4,360,69,0.6,-4759.633035098189
4,360,69,0.8,-4798.814885894437
4,360,70,0.2,-4716.084319384276
4,360,70,0.4,-4732.351914151716
4,360,70,0.6,-4769.3043463424565
4,360,70,0.8,-4806.439719605114
4,360,71,0.2,-4713.2371168839
4,360,71,0.4,-4741.12378736784
4,360,71,0.6,-4782.685578913706
4,360,71,0.8,-4821.809326903283
4,360,72,0.2,-4703.597247556021
4,360,72,0.4,-4732.799022819487
4,360,72,0.6,-4775.678174443689
4,360,72,0.8,-4815.709247672707
4,360,73,0.2,-4734.975605711603
4,360,73,0.4,-4763.325621551505
4,360,73,0.6,-4805.745262298102
4,360,73,0.8,-4845.724611198228
4,360,74,0.2,-4689.153534516139
4,360,74,0.4,-4719.60582125003
4,360,74,0.6,-4761.7646345179255
4,360,74,0.8,-4801.051858262705
4,360,75,0.2,-4743.380130488844
4,360,75,0.4,-4769.412627025591
4,360,75,0.6,-4809.988346487227
4,360,75,0.8,-4848.663380033378
4,360,76,0.2,-4699.087897987662
4,360,76,0.4,-4725.2268975830075
4,360,76,0.6,-4766.927189426222
4,360,76,0.8,-4806.842507272235
4,360,77,0.2,-4737.684507449494
4,360,77,0.4,-4760.738091092871
4,360,77,0.6,-4800.807140606928
4,360,77,0.8,-4839.092038021314
4,360,78,0.2,-4695.271334836429
4,360,78,0.4,-4721.5911169940955
4,360,78,0.6,-4763.92787755702
4,360,78,0.8,-4803.981116713943
4,360,79,0.2,-4729.479475932689
4,360,79,0.4,-4761.71746816916
4,360,79,0.6,-4805.919544374909
4,360,79,0.8,-4847.278445445834
4,360,80,0.2,-4680.497824244079
4,360,80,0.4,-4707.971041449449
4,360,80,0.6,-4749.323519948941
4,360,80,0.8,-4788.239791670315
4,360,81,0.2,-4691.940025735166
4,360,81,0.4,-4720.2377822871
4,360,81,0.6,-4762.3908144411835
4,360,81,0.8,-4801.497949089615
4,360,82,0.2,-4716.142633525886
4,360,82,0.4,-4742.767622173227
4,360,82,0.6,-4783.841270973208
4,360,82,0.8,-4822.72640586772
4,360,83,0.2,-4732.857618958586
4,360,83,0.4,-4758.195894554281
4,360,83,0.6,-4798.493443458131
4,360,83,0.8,-4836.685989118732
4,360,84,0.2,-4704.270248513258
4,360,84,0.4,-4729.113958981807
4,360,84,0.6,-4769.600623493643
4,360,84,0.8,-4808.275481341932
4,360,85,0.2,-4732.201544377276
4,360,85,0.4,-4761.00427137583
4,360,85,0.6,-4803.0110977699715
4,360,85,0.8,-4842.614376846146
4,360,86,0.2,-4748.399092168371
4,360,86,0.4,-4762.712018411946
4,360,86,0.6,-4795.838102165422
4,360,86,0.8,-4829.287001201739
4,360,87,0.2,-4736.970681664687
4,360,87,0.4,-4755.04607847179
4,360,87,0.6,-4791.76026139657
4,360,87,0.8,-4828.042055812888
4,360,88,0.2,-4701.512738938258
4,360,88,0.4,-4731.31290045013
4,360,88,0.6,-4775.112901144839
4,360,88,0.8,-4816.094347148421
4,360,89,0.2,-4730.7568048867215
4,360,89,0.4,-4757.121066225112
4,360,89,0.6,-4799.134810353567
4,360,89,0.8,-4839.049912085415
4,360,90,0.2,-4663.277025257021
4,360,90,0.4,-4687.621057391943
4,360,90,0.6,-4729.21695768565
4,360,90,0.8,-4768.940533689261
4,360,91,0.2,-4734.4407095141405
4,360,91,0.4,-4760.436239398825
4,360,91,0.6,-4800.642720302922
4,360,91,0.8,-4838.695745928411
4,360,92,0.2,-4669.408938421002
4,360,92,0.4,-4686.757427739671
4,360,92,0.6,-4724.285832693906
4,360,92,0.8,-4761.291881715975
4,360,93,0.2,-4688.931166623202
4,360,93,0.4,-4714.172341551532
4,360,93,0.6,-4755.284058883617
4,360,93,0.8,-4794.59213589892
4,360,94,0.2,-4741.831042087822
4,360,94,0.4,-4764.344685116799
4,360,94,0.6,-4804.509749903336
4,360,94,0.8,-4843.370169804539
4,360,95,0.2,-4718.336153552298
4,360,95,0.4,-4742.868358711241
4,360,95,0.6,-4783.519210454446
4,360,95,0.8,-4822.59447638398
4,360,96,0.2,-4722.928686202635
4,360,96,0.4,-4746.106099923503
4,360,96,0.6,-4785.9758879496985
4,360,96,0.8,-4824.595504677291
4,360,97,0.2,-4683.837395471068
4,360,97,0.4,-4711.0390550077755
4,360,97,0.6,-4752.447430806697
4,360,97,0.8,-4791.481174133945
4,360,98,0.2,-4696.717096221955
4,360,98,0.4,-4718.712254460963
4,360,98,0.6,-4757.904091732401
4,360,98,0.8,-4795.842087625977
4,360,99,0.2,-4730.949386354427
4,360,99,0.4,-4760.25413523341
