p0,T,Iter,p,Estimator,Expected_Tau
4,240,0,2,Joint-BMA,0.2
4,240,0,2,Geom-BMA,0.2
4,240,0,3,Joint-BMA,0.2
4,240,0,3,Geom-BMA,0.2
4,240,0,4,Joint-BMA,0.2
4,240,1,3,Joint-BMA,0.2
4,240,1,3,Geom-BMA,0.2
4,240,1,4,Joint-BMA,0.20000000000000004
4,240,1,4,Geom-BMA,0.20000000000000004
4,240,1,5,Joint-BMA,0.2
4,240,1,5,Geom-BMA,0.2
4,240,1,6,Joint-BMA,0.2
4,240,1,6,Geom-BMA,0.2
4,240,1,7,Joint-BMA,0.2
4,240,1,8,Joint-BMA,0.2
4,240,1,9,Joint-BMA,0.2
4,240,1,10,Joint-BMA,0.2
4,240,1,11,Joint-BMA,0.2
4,240,1,12,Joint-BMA,0.2
4,300,0,3,Joint-BMA,0.20000000000000004
4,300,0,3,Geom-BMA,0.2
4,300,0,4,Joint-BMA,0.2
4,300,0,4,Geom-BMA,0.2
4,300,0,5,Joint-BMA,0.2
4,300,0,5,Geom-BMA,0.2
4,300,0,6,Joint-BMA,0.2
4,300,0,6,Geom-BMA,0.2
4,300,0,7,Joint-BMA,0.2
4,300,0,7,Geom-BMA,0.2
4,300,0,8,Joint-BMA,0.20000000000000004
4,300,0,8,Geom-BMA,0.2
4,300,0,9,Joint-BMA,0.2
4,300,0,10,Joint-BMA,0.2
4,300,0,11,Joint-BMA,0.2
4,300,0,12,Joint-BMA,0.2
4,300,1,3,Joint-BMA,0.22549808625920287
4,300,1,3,Geom-BMA,0.22549808625920292
4,300,1,4,Joint-BMA,0.21830496685325326
4,300,1,4,Geom-BMA,0.21830496685325326
4,300,1,5,Joint-BMA,0.2
4,300,1,5,Geom-BMA,0.2
4,300,1,6,Joint-BMA,0.2
4,300,1,6,Geom-BMA,0.2
4,300,1,7,Joint-BMA,0.2
4,300,1,8,Joint-BMA,0.2
4,300,1,9,Joint-BMA,0.19999999999999998
4,300,1,10,Joint-BMA,0.2
4,300,1,11,Joint-BMA,0.2
4,300,1,12,Joint-BMA,0.2
4,360,0,2,Joint-BMA,0.2
4,360,0,2,Geom-BMA,0.2
4,360,0,3,Joint-BMA,0.2
4,360,0,3,Geom-BMA,0.20000000000000004
4,360,0,4,Joint-BMA,0.2
4,360,0,4,Geom-BMA,0.2
4,360,0,5,Joint-BMA,0.2
4,360,0,5,Geom-BMA,0.2
4,360,0,6,Joint-BMA,0.19999999999999998
4,360,0,6,Geom-BMA,0.19999999999999998
4,360,0,7,Joint-BMA,0.2
4,360,0,7,Geom-BMA,0.2
4,360,0,8,Joint-BMA,0.2
4,360,0,9,Joint-BMA,0.2
4,360,1,2,Joint-BMA,0.21837025339568902
4,360,1,2,Geom-BMA,0.21837025339568905
4,360,1,3,Joint-BMA,0.2
4,360,1,3,Geom-BMA,0.2061934126232281
4,360,1,4,Joint-BMA,0.20544046129141194
4,360,1,4,Geom-BMA,0.20544046129141194
4,360,1,5,Joint-BMA,0.2
4,360,1,5,Geom-BMA,0.2
4,360,1,6,Joint-BMA,0.2
4,360,1,7,Joint-BMA,0.2
4,480,0,3,Joint-BMA,0.2
4,480,0,3,Geom-BMA,0.19999999999999998
