True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,96,AIC,2.0,9.85,N/A,1.328,0.3677,6.1423
4,96,AICc,0.0,1.0,N/A,0.9571,0.1978,5.4013
4,96,SIC (BIC),0.0,1.29,N/A,0.9852,0.2237,4.9067
4,96,HQC,0.0,1.92,N/A,0.9979,0.2996,4.8894
4,96,OLS BMA (BIC-W),N/A,12.0,N/A,1.0803,0.2959,5.3488
4,96,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,190.036,79.032,648.381
4,96,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,4.0629,1.2804,18.0385
4,96,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.5801,0.3503,7.4205
4,96,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.8167,0.5125,9.0276
4,96,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.29,N/A,1.4752,0.3518,9.369
4,96,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.2055,0.3576,6.2493
4,96,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.0,0.5333,0.9293,0.1667,5.0616
4,96,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.5333,0.9331,0.1703,4.8467
4,144,AIC,12.0,2.65,N/A,1.1057,0.1803,5.5283
4,144,AICc,0.0,1.0,N/A,1.2063,0.2173,8.0569
4,144,SIC (BIC),0.0,1.51,N/A,1.1452,0.1746,8.0569
4,144,HQC,0.0,2.02,N/A,1.085,0.1966,5.4218
4,144,OLS BMA (BIC-W),N/A,12.0,N/A,1.1651,0.1707,8.2158
4,144,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,88.8716,29.8006,330.1145
4,144,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,2.7529,0.4421,14.6049
4,144,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.3757,0.2363,8.491
4,144,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.6548,0.2657,12.0716
4,144,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.51,N/A,1.9615,0.336,12.2535
4,144,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,2.0429,0.2978,12.8573
4,144,"SOTA-BVAR (MDD p, Opt tau)",0.0,1.0,0.4941,1.3346,0.1736,9.1587
4,144,"SOTA-BMA (MDD W, Opt tau)",N/A,12.0,0.4941,1.2448,0.1644,9.0124
4,240,AIC,34.0,3.12,N/A,1.0524,0.1378,6.6643
4,240,AICc,0.0,1.0,N/A,1.0424,0.1137,12.3663
4,240,SIC (BIC),0.0,1.98,N/A,1.0669,0.104,11.5548
4,240,HQC,0.0,2.05,N/A,1.0564,0.104,11.7474
4,240,OLS BMA (BIC-W),N/A,12.0,N/A,1.0495,0.1214,9.3612
4,240,BVAR-RW (Tight tau=0.05),N/A,12.0,N/A,25.2079,8.2234,139.6274
4,240,BVAR-RW (Std tau=0.20),N/A,12.0,N/A,1.1586,0.1613,12.9222
4,240,BVAR-RW (Loose tau=0.50),N/A,12.0,N/A,1.0171,0.105,11.7401
4,240,BVAR-WN (Std tau=0.20),N/A,12.0,N/A,1.0743,0.1375,10.6453
4,240,"Hybrid-BVAR (OLS p, Fix tau)",0.0,1.98,N/A,1.1336,0.1357,12.7442
4,240,"Hybrid-BMA (OLS W, Fix tau)",N/A,12.0,N/A,1.4945,0.167,13.3133
