True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Avg Opt Tau,Fail Rate (%),Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,240,AIC,26.0,2.99,,0.0,1.083115755363456,0.071924140519579,18.206507112480345
4,240,SIC (BIC),0.0,1.95,,0.0,1.1075937947356562,0.064867434351546,18.56954013012732
4,240,HQC,0.0,2.06,,0.0,1.1293938216223982,0.0623126978911841,18.56954013012732
4,240,OLS BMA (BIC-W),,1.95,,0.0,1.0995420677138374,0.0669599083122475,17.855838375390015
4,240,"OLS BMA (Geom-W, th=0.5)",,1.94,,0.0,1.1628217055717682,0.0599958210842673,20.17698475621698
4,240,OLS BMA (AIC-W),,2.99,,0.0,1.0823157829064962,0.0600600126609006,17.417087214130177
4,240,"OLS BMA (Geom-AIC-W, th=0.5)",,2.87,,0.0,1.1748803682921882,0.0749766288659764,18.116458052960017
4,240,"BVAR-WN (tau=0.20, p_max)",,12.0,,0.0,1.0624268225525828,0.0597974475071048,19.756713396042844
4,240,"BVAR-WN (tau=0.40, p_max)",,12.0,,0.0,1.0550869735162112,0.0635364985427143,17.556386916861076
4,240,"BVAR-WN (tau=0.60, p_max)",,12.0,,0.0,1.076306623439061,0.0698165117526632,15.936923506429975
4,240,"BVAR-WN (tau=0.80, p_max)",,12.0,,0.0,1.1448218492406923,0.0744454953555669,15.826839215628688
4,240,"Joint (p, tau) Grid BMA",,4.27,,0.0,0.8999174482956797,0.055557266931209,16.63980105267419
4,240,"Geom (p, tau) Grid BMA (th=0.5)",,3.14,,0.0,1.126763416944962,0.0622051742688852,18.849718634829102
4,240,"BVAR-WN (MDD tau, p_max)",,12.0,0.2,0.0,1.0624268225525828,0.0597974475071048,19.756713396042844
10,240,AIC,7.8,6.54,,0.0,1.0331231595562451,0.0600907090264268,15.382222165720137
10,240,SIC (BIC),0.0,1.96,,0.0,1.0183309442221649,0.0654620816102506,15.01165268845175
10,240,HQC,0.0,2.07,,0.0,1.020660514702664,0.0694867293303147,15.01165268845175
10,240,OLS BMA (BIC-W),,1.96,,0.0,1.010418157073306,0.0564543459128475,12.303605287695556
10,240,"OLS BMA (Geom-W, th=0.5)",,1.95,,0.0,0.8421621086258558,0.0579946166206512,13.818547130730536
10,240,OLS BMA (AIC-W),,6.58,,0.0,0.9794081735525416,0.0683162856755787,14.386923231884404
10,240,"OLS BMA (Geom-AIC-W, th=0.5)",,5.62,,0.0,0.9816077936742452,0.0755916991197595,13.492700385694722
10,240,"BVAR-WN (tau=0.20, p_max)",,12.0,,0.0,0.8951663634648082,0.051283049756824,13.6008218210493
10,240,"BVAR-WN (tau=0.40, p_max)",,12.0,,0.0,0.8866949610514361,0.0447629117114558,13.987233046476366
10,240,"BVAR-WN (tau=0.60, p_max)",,12.0,,0.0,0.8675271633155107,0.0534399074800313,13.551955455935875
10,240,"BVAR-WN (tau=0.80, p_max)",,12.0,,0.0,0.9470903100393336,0.0606471103550111,14.414652572046052
10,240,"Joint (p, tau) Grid BMA",,8.97,,0.0,0.8003784739493555,0.0476302460321404,15.05362664348456
10,240,"Geom (p, tau) Grid BMA (th=0.5)",,5.51,,0.0,0.8487011925297293,0.0479744354052904,14.277016667421174
10,240,"BVAR-WN (MDD tau, p_max)",,12.0,0.2,0.0,0.8951663634648082,0.051283049756824,13.6008218210493
4,360,AIC,46.8,3.39,,0.0,1.1167926951359028,0.0709560603955153,20.04965324105025
4,360,SIC (BIC),0.0,2.0,,0.0,1.2743316193111955,0.0553329339451371,25.63931463833999
4,360,HQC,0.2,2.16,,0.0,1.29580515095757,0.0555569158636234,25.63931463833999
4,360,OLS BMA (BIC-W),,2.0,,0.0,1.142491159828304,0.0554747757660744,23.744439650165944
4,360,"OLS BMA (Geom-W, th=0.5)",,2.0,,0.0,1.23516401752499,0.0539062267220958,27.87158367784869
4,360,OLS BMA (AIC-W),,3.39,,0.0,1.034734958643462,0.0502756867071306,23.78448601709794
4,360,"OLS BMA (Geom-AIC-W, th=0.5)",,3.29,,0.0,1.1384228253729811,0.0456815116000035,23.586315689420005
4,360,"BVAR-WN (tau=0.20, p_max)",,12.0,,0.0,1.0297450300233062,0.0494126429661984,21.266055790769265
4,360,"BVAR-WN (tau=0.40, p_max)",,12.0,,0.0,1.1673063443117833,0.0503690286203998,22.28782557257681
4,360,"BVAR-WN (tau=0.60, p_max)",,12.0,,0.0,0.9944758303982876,0.0564849062516072,22.839802578462603
4,360,"BVAR-WN (tau=0.80, p_max)",,12.0,,0.0,1.1419174984218434,0.058180999370626,20.688825175875348
4,360,"Joint (p, tau) Grid BMA",,3.97,,0.0,1.0262393640359826,0.0445893322945683,23.78025126649737
4,360,"Geom (p, tau) Grid BMA (th=0.5)",,3.32,,0.0,1.0459466364922207,0.045596711099699,25.152460838614896
4,360,"BVAR-WN (MDD tau, p_max)",,12.0,0.2,0.0,1.0297450300233062,0.0494126429661984,21.266055790769265
10,360,AIC,17.4,8.53,,0.0,0.8109704426296893,0.0365652733103618,17.683162258816996
10,360,SIC (BIC),0.0,2.0,,0.0,0.904128446974032,0.0424361176501532,21.95417867461809
10,360,HQC,0.0,2.23,,0.0,0.8783721471850602,0.0437866592882386,20.74237471000153
10,360,OLS BMA (BIC-W),,2.0,,0.0,1.16306456472037,0.0507402106288549,24.80905975504384
10,360,"OLS BMA (Geom-W, th=0.5)",,2.0,,0.0,1.057112331690219,0.0503862590412639,23.91035214865115
10,360,OLS BMA (AIC-W),,8.51,,0.0,0.8934433552925105,0.0401859599491835,20.221401889047826
10,360,"OLS BMA (Geom-AIC-W, th=0.5)",,8.22,,0.0,0.8836629846901917,0.0383102227609387,22.529242415195128
10,360,"BVAR-WN (tau=0.20, p_max)",,12.0,,0.0,0.8959267305990141,0.0327033584342898,23.40540402946626
10,360,"BVAR-WN (tau=0.40, p_max)",,12.0,,0.0,0.9001284486631668,0.0314690718621516,22.986921390977734
10,360,"BVAR-WN (tau=0.60, p_max)",,12.0,,0.0,0.8557212502967666,0.0346935691672295,21.337122159574182
10,360,"BVAR-WN (tau=0.80, p_max)",,12.0,,0.0,0.9052949537330064,0.0362239010548558,20.960825669110296
10,360,"Joint (p, tau) Grid BMA",,10.08,,0.0,0.7865134716387422,0.0381904695100085,21.76092327334285
10,360,"Geom (p, tau) Grid BMA (th=0.5)",,8.22,,0.0,0.9927861645243268,0.0399040349908449,23.15956123165028
10,360,"BVAR-WN (MDD tau, p_max)",,12.0,0.2016,0.0,0.9116369760609552,0.0327033584342898,23.40540402946626
4,480,AIC,59.8,3.61,,0.0,0.9855931218965024,0.065987465492166,16.272159611393114
4,480,SIC (BIC),0.0,2.01,,0.0,1.133147027031148,0.0458131668201012,30.900475858715016
4,480,HQC,3.0,2.4,,0.0,1.1236599262315057,0.0521280117438915,27.91192001392236
4,480,OLS BMA (BIC-W),,2.01,,0.0,1.1476693651573135,0.0477903954494273,29.414726675505975
4,480,"OLS BMA (Geom-W, th=0.5)",,2.01,,0.0,1.1495638370712764,0.0453009364412934,28.61910815753698
4,480,OLS BMA (AIC-W),,3.63,,0.0,1.0309302736937282,0.0429568667082916,27.740040800063703
4,480,"OLS BMA (Geom-AIC-W, th=0.5)",,3.55,,0.0,0.99592617109946,0.0362890419673033,27.191235572859835
4,480,"BVAR-WN (tau=0.20, p_max)",,12.0,,0.0,1.136689813475676,0.0435316610050155,27.876924416802535
4,480,"BVAR-WN (tau=0.40, p_max)",,12.0,,0.0,1.1091647620197052,0.0430903399676853,27.63507821360243
4,480,"BVAR-WN (tau=0.60, p_max)",,12.0,,0.0,1.092238969620859,0.0458731393344853,25.99400075227169
4,480,"BVAR-WN (tau=0.80, p_max)",,12.0,,0.0,1.0999845706780431,0.0497453227534528,28.53893253285497
4,480,"Joint (p, tau) Grid BMA",,4.03,,0.0,0.8977716146406253,0.0344003619877658,26.12543781032583
4,480,"Geom (p, tau) Grid BMA (th=0.5)",,3.56,,0.0,1.130331621610725,0.0403468329781569,29.325997109308226
4,480,"BVAR-WN (MDD tau, p_max)",,12.0,0.2,0.0,1.136689813475676,0.0435316610050155,27.876924416802535
10,480,AIC,25.2,8.96,,0.0,0.9888085090970504,0.0374643645842284,23.30678747052811
10,480,SIC (BIC),0.0,2.0,,0.0,1.1895155529879065,0.0447422219310263,31.508365346280385
10,480,HQC,0.0,2.66,,0.0,1.1850129015952555,0.0444995937393875,31.137114952493555
10,480,OLS BMA (BIC-W),,2.0,,0.0,1.0520388639681018,0.0383464908005447,29.417756462540844
10,480,"OLS BMA (Geom-W, th=0.5)",,2.0,,0.0,1.2828725478022815,0.043218489845934,27.941116609473976
10,480,OLS BMA (AIC-W),,8.96,,0.0,0.8834014921734943,0.0355672786565908,26.88479066360833
10,480,"OLS BMA (Geom-AIC-W, th=0.5)",,8.81,,0.0,1.2099136118520155,0.0356292531137424,33.83084576883406
10,480,"BVAR-WN (tau=0.20, p_max)",,12.0,,0.0,0.8530803361095173,0.0281372769012861,26.932344570076964
10,480,"BVAR-WN (tau=0.40, p_max)",,12.0,,0.0,0.9203009434538116,0.030898138639845,27.467015479990863
10,480,"BVAR-WN (tau=0.60, p_max)",,12.0,,0.0,0.8762105423019318,0.0314476103587573,25.40846459034284
10,480,"BVAR-WN (tau=0.80, p_max)",,12.0,,0.0,0.9444836249322676,0.0303545193297254,24.59387685578391
10,480,"Joint (p, tau) Grid BMA",,10.31,,0.0,1.0189891010541927,0.0349518642664732,26.53131104649924
10,480,"Geom (p, tau) Grid BMA (th=0.5)",,9.49,,0.0,0.897861049289808,0.0307999800652318,25.013630904067668
10,480,"BVAR-WN (MDD tau, p_max)",,12.0,0.2284,0.0,0.866037208099898,0.0278737687597551,27.011004826079667
4,600,AIC,76.0,3.8,,0.0,0.9890847795721724,0.091306492959203,8.18856618784689
4,600,SIC (BIC),0.0,2.02,,0.0,1.1449567271829668,0.0357366451165027,32.398792426209745
4,600,HQC,7.0,2.66,,0.0,1.117574588152688,0.0360097548540215,32.23436322514919
4,600,OLS BMA (BIC-W),,2.02,,0.0,1.2178477097967717,0.0412667607850633,30.204103684981924
4,600,"OLS BMA (Geom-W, th=0.5)",,2.01,,0.0,1.128579255920326,0.0368498775657561,30.25542982095498
4,600,OLS BMA (AIC-W),,3.79,,0.0,1.0315900000271288,0.0296822665431962,31.08534978498696
4,600,"OLS BMA (Geom-AIC-W, th=0.5)",,3.74,,0.0,1.123604054961596,0.0342172585727078,32.07842014594802
4,600,"BVAR-WN (tau=0.20, p_max)",,12.0,,0.0,1.1328197870753685,0.0318611981691457,29.017331850627965
4,600,"BVAR-WN (tau=0.40, p_max)",,12.0,,0.0,0.9834981822846122,0.0344235908814771,30.78436128813934
4,600,"BVAR-WN (tau=0.60, p_max)",,12.0,,0.0,1.1028522830468837,0.0388403666108037,28.122235420348694
4,600,"BVAR-WN (tau=0.80, p_max)",,12.0,,0.0,1.1093273053318973,0.0411203743417699,26.645493406389352
4,600,"Joint (p, tau) Grid BMA",,4.03,,0.0,1.1131698997238864,0.0360999774001381,31.702548057032
4,600,"Geom (p, tau) Grid BMA (th=0.5)",,3.75,,0.0,1.1093073310018553,0.0293525229930006,31.249188480640164
4,600,"BVAR-WN (MDD tau, p_max)",,12.0,0.2,0.0,1.1328197870753685,0.0318611981691457,29.017331850627965
10,600,AIC,34.0,9.16,,0.0,1.0357695036217018,0.0370775172231288,26.84962104813756
10,600,SIC (BIC),0.0,2.02,,0.0,1.2601668532582366,0.0428871836417201,33.2841628428762
10,600,HQC,0.0,4.03,,0.0,1.2585134006847156,0.039206246441071,31.947026960371183
10,600,OLS BMA (BIC-W),,2.02,,0.0,1.293017646579991,0.0438050657262098,29.282312854704507
