True DGP (p0),Sample Size (T),Estimator,Lag Detection Rate (%),Mean Evaluated Lag,Geom Mean MSE Ratio,5th Percentile,95th Percentile
4,80,AIC,0.0,12.0,5.7002,1.3616,37.6299
4,80,SIC (BIC),0.0,2.56,1.2349,0.5055,5.9002
4,80,HQC,0.0,11.49,5.3721,1.3107,37.6299
4,80,BVAR (Minn.),N/A,12.0,4.9742,2.0175,10.3448
4,100,AIC,1.0,9.28,1.6405,0.6155,4.716
4,100,SIC (BIC),0.0,1.22,1.0202,0.4798,2.2249
4,100,HQC,0.0,1.84,1.0339,0.5094,2.3171
4,100,BVAR (Minn.),N/A,12.0,2.137,0.831,5.0148
4,120,AIC,11.0,4.01,1.1165,0.4972,3.068
4,120,SIC (BIC),0.0,1.39,1.1046,0.4688,2.4161
4,120,HQC,0.0,1.96,1.0177,0.4529,3.0645
4,120,BVAR (Minn.),N/A,12.0,1.8438,0.9536,3.8702
4,160,AIC,15.0,2.95,1.0958,0.5051,2.3238
4,160,SIC (BIC),0.0,1.7,1.1585,0.4756,2.541
4,160,HQC,0.0,2.07,1.0854,0.4765,2.4328
4,160,BVAR (Minn.),N/A,12.0,1.5935,0.7548,3.8118
4,200,AIC,21.0,2.93,1.1192,0.515,3.0953
4,200,SIC (BIC),0.0,1.83,1.17,0.5058,3.4013
4,200,HQC,0.0,2.04,1.1406,0.5058,3.3972
4,200,BVAR (Minn.),N/A,12.0,1.5263,0.6817,4.4097
6,80,AIC,0.0,12.0,3.8736,1.0026,37.8687
6,80,SIC (BIC),0.0,2.81,0.9956,0.3183,3.8051
6,80,HQC,0.0,11.8,3.6906,0.9277,37.8687
6,80,BVAR (Minn.),N/A,12.0,4.5762,1.9562,9.6407
6,100,AIC,5.0,9.42,1.5699,0.6819,3.703
6,100,SIC (BIC),0.0,1.22,1.0375,0.352,3.0695
6,100,HQC,0.0,1.86,0.9974,0.3377,2.7438
6,100,BVAR (Minn.),N/A,12.0,2.2708,1.1262,4.9095
6,120,AIC,12.0,4.78,0.9602,0.4223,2.014
6,120,SIC (BIC),0.0,1.43,1.0429,0.435,2.4378
6,120,HQC,0.0,1.91,0.9332,0.4185,1.9941
6,120,BVAR (Minn.),N/A,12.0,1.684,0.7196,3.6841
6,160,AIC,8.0,3.48,0.9488,0.3938,1.9132
6,160,SIC (BIC),0.0,1.68,1.0047,0.4129,2.3634
6,160,HQC,0.0,2.02,0.9816,0.3833,2.6742
6,160,BVAR (Minn.),N/A,12.0,1.4689,0.6301,3.1651
6,200,AIC,6.0,3.23,1.0281,0.3726,3.3429
6,200,SIC (BIC),0.0,1.85,1.1067,0.395,3.2505
6,200,HQC,0.0,2.0,1.0715,0.3522,2.9464
6,200,BVAR (Minn.),N/A,12.0,1.5131,0.5253,4.0191
8,80,AIC,0.0,12.0,2.7346,0.9685,11.5513
8,80,SIC (BIC),0.0,2.38,0.816,0.2515,3.0656
8,80,HQC,0.0,11.58,2.5673,0.9509,10.9036
8,80,BVAR (Minn.),N/A,12.0,3.5282,1.4337,9.1052
8,100,AIC,2.0,10.89,1.2636,0.5092,2.6614
8,100,SIC (BIC),0.0,1.24,0.8475,0.3587,1.7131
8,100,HQC,0.0,1.91,0.8201,0.345,1.7442
8,100,BVAR (Minn.),N/A,12.0,1.7063,0.7333,3.752
8,120,AIC,15.0,6.81,0.9195,0.3505,2.243
8,120,SIC (BIC),0.0,1.3,0.9645,0.3153,2.6394
8,120,HQC,0.0,1.9,0.8378,0.3116,2.1422
8,120,BVAR (Minn.),N/A,12.0,1.4238,0.5041,3.5098
8,160,AIC,18.0,5.04,0.899,0.4349,1.8898
8,160,SIC (BIC),0.0,1.65,0.9165,0.3557,2.4865
8,160,HQC,0.0,2.0,0.8947,0.3383,2.2826
8,160,BVAR (Minn.),N/A,12.0,1.4148,0.5483,3.239
8,200,AIC,36.0,5.13,0.9256,0.3387,1.7765
8,200,SIC (BIC),0.0,1.83,0.8967,0.266,2.0992
8,200,HQC,0.0,2.03,0.8549,0.2593,2.0992
8,200,BVAR (Minn.),N/A,12.0,1.2993,0.5287,3.3293
10,80,AIC,0.0,11.99,2.3021,0.8602,23.1623
10,80,SIC (BIC),0.0,2.44,0.6047,0.1652,1.7129
10,80,HQC,0.0,11.79,2.2144,0.8133,23.1623
10,80,BVAR (Minn.),N/A,12.0,2.5008,0.9272,6.0699
10,100,AIC,1.0,11.07,1.2283,0.5272,2.46
10,100,SIC (BIC),0.0,1.22,0.7135,0.2431,1.8383
10,100,HQC,1.0,2.13,0.6863,0.2299,1.96
10,100,BVAR (Minn.),N/A,12.0,1.5028,0.6021,3.663
10,120,AIC,7.0,7.33,0.8293,0.3375,1.8802
10,120,SIC (BIC),0.0,1.48,0.7151,0.2398,1.8661
10,120,HQC,0.0,1.95,0.6987,0.2579,1.843
10,120,BVAR (Minn.),N/A,12.0,1.1842,0.4384,3.3633
10,160,AIC,2.0,4.95,0.8018,0.2673,1.8605
10,160,SIC (BIC),0.0,1.56,0.8474,0.2446,2.2653
10,160,HQC,0.0,2.07,0.8305,0.2218,2.3946
10,160,BVAR (Minn.),N/A,12.0,1.211,0.4591,2.8434
10,200,AIC,5.0,5.79,0.822,0.351,2.1923
10,200,SIC (BIC),0.0,1.89,0.7607,0.2684,1.9679
10,200,HQC,0.0,2.02,0.7665,0.2563,2.1702
10,200,BVAR (Minn.),N/A,12.0,1.0087,0.3567,3.045
