p0,T,Iter,BIC_Rel_MSE,Joint_BMA_Rel_MSE
4,96,0,1.3124925492365418,
4,96,1,,
4,144,0,0.5935804835959785,1.2941455129901696
4,144,1,,
4,240,0,0.2892609252263212,1.2291175203817482
4,240,1,4.182961866967302,2.601872615239168
4,480,0,1.0683344013706784,0.35468281597909046
4,480,1,1.0773086725597103,0.605031173099569
6,96,0,1.1717873889071186,
6,96,1,0.7316979601974171,
6,144,0,0.8091790600343997,2.8997862788806925
6,144,1,0.6482125753958713,
6,240,0,0.15077039593837105,0.08482180448126146
6,240,1,0.9333717647297538,1.2690547920115463
6,480,0,0.6130786416374588,1.0405033365728185
6,480,1,0.613755233260851,1.022883399154634
8,96,0,0.6311911061292633,
8,96,1,2.557413986663555,
8,144,0,0.4217535853771532,
8,144,1,10.134808673459,0.9139888305537647
8,240,0,1.7102740478771052,
8,240,1,1.6374779064560323,0.9231840590077679
8,480,0,0.4449268112632427,0.5681659998374755
8,480,1,0.09216695798556139,1.3412310212905123
10,96,0,0.6120888785203789,
10,96,1,0.5079789694666854,
10,144,0,3.2276745352411296,3.6548246482815707
10,144,1,2.0438376115022057,
10,240,0,3.897056324069914,3.063842630691373
10,240,1,2.900454185395988,2.7790164886514317
10,480,0,2.4224388302165396,4.577918382024482
10,480,1,1.3713381976857977,0.972004896761448
