p0,T,iter,MDD_Tau
4,96,0,0.2
4,96,1,0.2
4,96,2,0.2
4,96,3,0.2
4,96,4,0.2
4,96,5,0.2
4,96,6,0.2
4,96,7,0.2
4,96,8,0.2
4,96,9,0.2
4,144,0,0.2
4,144,1,0.2
4,144,2,0.2
4,144,3,0.2
4,144,4,0.2
4,144,5,0.2
4,144,6,0.2
4,144,7,0.2
4,144,8,0.2
4,144,9,0.2
4,240,0,0.2
4,240,1,0.2
4,240,2,0.2
4,240,3,0.2
4,240,4,0.2
4,240,5,0.2
4,240,6,0.2
4,240,7,0.2
4,240,8,0.2
4,240,9,0.2
4,480,0,0.2
4,480,1,0.2
4,480,2,0.2
4,480,3,0.2
4,480,4,0.2
4,480,5,0.2
4,480,6,0.2
4,480,7,0.2
4,480,8,0.2
4,480,9,0.2
6,96,0,0.2
6,96,1,0.2
6,96,2,0.2
6,96,3,0.2
6,96,4,0.2
6,96,5,0.2
6,96,6,0.2
6,96,7,0.2
6,96,8,0.2
6,96,9,0.2
6,144,0,0.2
6,144,1,0.2
6,144,2,0.2
6,144,3,0.2
6,144,4,0.2
6,144,5,0.2
6,144,6,0.2
6,144,7,0.2
6,144,8,0.2
6,144,9,0.2
6,240,0,0.2
6,240,1,0.2
6,240,2,0.2
6,240,3,0.2
6,240,4,0.2
6,240,5,0.2
6,240,6,0.2
6,240,7,0.2
6,240,8,0.2
6,240,9,0.2
6,480,0,0.2
6,480,1,0.2
6,480,2,0.2
6,480,3,0.2
6,480,4,0.2
6,480,5,0.2
6,480,6,0.2
6,480,7,0.2
6,480,8,0.2
6,480,9,0.2
8,96,0,0.2
8,96,1,0.2
8,96,2,0.2
8,96,3,0.2
8,96,4,0.2
8,96,5,0.2
8,96,6,0.2
8,96,7,0.2
8,96,8,0.2
8,96,9,0.2
8,144,0,0.2
8,144,1,0.2
8,144,2,0.2
8,144,3,0.2
8,144,4,0.2
8,144,5,0.2
8,144,6,0.2
8,144,7,0.2
8,144,8,0.2
8,144,9,0.2
8,240,0,0.2
8,240,1,0.2
8,240,2,0.2
8,240,3,0.2
8,240,4,0.2
8,240,5,0.2
8,240,6,0.2
8,240,7,0.2
8,240,8,0.2
8,240,9,0.2
8,480,0,0.2
8,480,1,0.35
8,480,2,0.2
8,480,3,0.35
8,480,4,0.2
8,480,5,0.2
8,480,6,0.35
8,480,7,0.2
8,480,8,0.2
8,480,9,0.2
10,96,0,0.2
10,96,1,0.2
10,96,2,0.2
10,96,3,0.2
10,96,4,0.2
10,96,5,0.2
10,96,6,0.2
10,96,7,0.2
10,96,8,0.2
10,96,9,0.2
10,144,0,0.2
10,144,1,0.2
10,144,2,0.2
10,144,3,0.2
10,144,4,0.2
10,144,5,0.2
10,144,6,0.2
10,144,7,0.2
10,144,8,0.2
10,144,9,0.2
10,240,0,0.2
10,240,1,0.2
10,240,2,0.2
10,240,3,0.2
10,240,4,0.2
10,240,5,0.2
10,240,6,0.2
10,240,7,0.2
10,240,8,0.2
10,240,9,0.2
10,480,0,0.2
10,480,1,0.2
10,480,2,0.2
10,480,3,0.35
10,480,4,0.35
10,480,5,0.35
10,480,6,0.35
10,480,7,0.35
10,480,8,0.35
10,480,9,0.2
