p0,T,iter,MDD_Tau_p0
4,240,0,0.2
4,240,1,0.2
4,300,0,0.2
4,300,1,0.2
4,360,0,0.2
4,360,1,0.2
4,480,0,0.2
4,480,1,0.2
4,600,0,0.35
4,600,1,0.35
6,240,0,0.2
6,240,1,0.2
6,300,0,0.2
6,300,1,0.2
6,360,0,0.2
6,360,1,0.2
6,480,0,0.2
6,480,1,0.35
6,600,0,0.2
6,600,1,0.2
8,240,0,0.2
8,240,1,0.2
8,300,0,0.2
8,300,1,0.2
8,360,0,0.2
8,360,1,0.2
8,480,0,0.2
8,480,1,0.2
8,600,0,0.35
8,600,1,0.35
10,240,0,0.2
10,240,1,0.2
10,300,0,0.2
10,300,1,0.2
10,360,0,0.2
10,360,1,0.2
10,480,0,0.35
10,480,1,0.35
10,600,0,0.35
10,600,1,0.35
