p0,T,iter,Opt_Tau
4,96,0,1.6149928333430466
4,96,1,1.5650139584438778
4,96,2,1.9033971360287594
4,96,3,1.7153468884072574
4,96,4,1.362617353109485
4,96,5,1.2369826518734948
4,96,6,1.7009104443347667
4,96,7,0.8828427414291214
4,96,8,1.4231014558653663
4,96,9,1.6453136357386131
4,96,10,1.7659192242489523
4,96,11,1.4775638974885608
4,96,12,1.3035345202235828
4,96,13,1.5293684621613113
4,96,14,1.52655353900163
4,96,15,1.4021523394684419
4,96,16,1.4632479229014075
4,96,17,1.572668660707826
4,96,18,1.5523852558019011
4,96,19,1.6385262056072734
4,96,20,1.4384790762648079
4,96,21,1.0914775568205328
4,96,22,1.6907607384818393
4,96,23,1.2662376542652651
4,96,24,1.1182762462330296
4,96,25,1.2144325788447357
4,96,26,1.8071803157814528
4,96,27,1.286730937326687
4,96,28,1.9999938506874477
4,96,29,1.5823759475521069
4,96,30,0.8517878417962135
4,96,31,1.28262756142014
4,96,32,1.3316370205741273
4,96,33,1.4484703330497806
4,96,34,1.343440027265589
4,96,35,1.4914533535691197
4,96,36,1.2170849533020047
4,96,37,1.4805674316006732
4,96,38,1.0831060074887737
4,96,39,1.0805402147386838
4,96,40,1.3368084691600006
4,96,41,1.458990467646431
4,96,42,1.533862358979244
4,96,43,1.3889706518138687
4,96,44,1.237815843902455
4,96,45,1.999994048115016
4,96,46,1.871244891863841
4,96,47,1.4335674459368135
4,96,48,0.8559228224863104
4,96,49,1.5771682119954413
4,144,0,1.320041475120948
4,144,1,1.5355008721423036
4,144,2,1.6351999475535157
4,144,3,1.7608023249791434
4,144,4,1.4738165736043565
4,144,5,1.4666585695297683
4,144,6,1.6074756468503202
4,144,7,1.788457232208661
4,144,8,1.5682445861348182
4,144,9,1.179065105120319
4,144,10,1.4336794841753597
4,144,11,1.4106642194655235
4,144,12,1.3044416614536771
4,144,13,1.563666119081723
4,144,14,1.5824588602511989
4,144,15,1.4672389653097189
4,144,16,1.9999941674821184
4,144,17,1.4939099594891256
4,144,18,1.9999944501337215
4,144,19,1.5607537896732393
4,144,20,1.7885561228111884
